AESTTime,Quantity,Unit
2017-10-01 00:00:00,7.99,kWh
2017-10-01 00:15:00,7.0,kWh
2017-10-01 00:30:00,8.2,kWh
2017-10-01 00:45:00,8.01,kWh
2017-10-01 01:00:00,9.01,kWh
2017-10-01 01:15:00,8.26,kWh
2017-10-01 01:30:00,8.37,kWh
2017-10-01 01:45:00,8.01,kWh
2017-10-01 02:00:00,8.28,kWh
2017-10-01 02:15:00,8.53,kWh
2017-10-01 02:30:00,7.94,kWh
2017-10-01 02:45:00,9.23,kWh
2017-10-01 03:00:00,10.01,kWh
2017-10-01 03:15:00,10.03,kWh
2017-10-01 03:30:00,10.75,kWh
2017-10-01 03:45:00,8.65,kWh
2017-10-01 04:00:00,9.97,kWh
2017-10-01 04:15:00,10.85,kWh
2017-10-01 04:30:00,12.02,kWh
2017-10-01 04:45:00,15.48,kWh
2017-10-01 05:00:00,14.24,kWh
2017-10-01 05:15:00,15.95,kWh
2017-10-01 05:30:00,16.11,kWh
2017-10-01 05:45:00,16.81,kWh
2017-10-01 06:00:00,15.47,kWh
2017-10-01 06:15:00,14.16,kWh
2017-10-01 06:30:00,15.35,kWh
2017-10-01 06:45:00,16.79,kWh
2017-10-01 07:00:00,12.76,kWh
2017-10-01 07:15:00,11.96,kWh
2017-10-01 07:30:00,17.66,kWh
2017-10-01 07:45:00,17.19,kWh
2017-10-01 08:00:00,18.86,kWh
2017-10-01 08:15:00,18.14,kWh
2017-10-01 08:30:00,18.26,kWh
2017-10-01 08:45:00,18.46,kWh
2017-10-01 09:00:00,19.27,kWh
2017-10-01 09:15:00,18.93,kWh
2017-10-01 09:30:00,18.74,kWh
2017-10-01 09:45:00,18.6,kWh
2017-10-01 10:00:00,19.14,kWh
2017-10-01 10:15:00,19.81,kWh
2017-10-01 10:30:00,18.83,kWh
2017-10-01 10:45:00,18.83,kWh
2017-10-01 11:00:00,18.51,kWh
2017-10-01 11:15:00,17.78,kWh
2017-10-01 11:30:00,19.65,kWh
2017-10-01 11:45:00,18.1,kWh
2017-10-01 12:00:00,22.12,kWh
2017-10-01 12:15:00,20.13,kWh
2017-10-01 12:30:00,19.44,kWh
2017-10-01 12:45:00,19.88,kWh
2017-10-01 13:00:00,20.25,kWh
2017-10-01 13:15:00,20.62,kWh
2017-10-01 13:30:00,20.33,kWh
2017-10-01 13:45:00,20.09,kWh
2017-10-01 14:00:00,19.73,kWh
2017-10-01 14:15:00,19.76,kWh
2017-10-01 14:30:00,19.76,kWh
2017-10-01 14:45:00,19.74,kWh
2017-10-01 15:00:00,17.37,kWh
2017-10-01 15:15:00,17.59,kWh
2017-10-01 15:30:00,19.58,kWh
2017-10-01 15:45:00,18.47,kWh
