AESTTime,Quantity,Unit
2017-10-01 00:00:00,80.6,kWh
2017-10-01 00:30:00,79.0,kWh
2017-10-01 01:00:00,85.6,kWh
2017-10-01 01:30:00,85.5,kWh
2017-10-01 02:00:00,76.6,kWh
2017-10-01 02:30:00,75.2,kWh
2017-10-01 03:00:00,77.0,kWh
2017-10-01 03:30:00,78.7,kWh
2017-10-01 04:00:00,77.7,kWh
2017-10-01 04:30:00,79.6,kWh
2017-10-01 05:00:00,78.6,kWh
2017-10-01 05:30:00,85.7,kWh
2017-10-01 06:00:00,86.0,kWh
2017-10-01 06:30:00,117.7,kWh
2017-10-01 07:00:00,101.2,kWh
2017-10-01 07:30:00,124.9,kWh
2017-10-01 08:00:00,118.0,kWh
2017-10-01 08:30:00,109.9,kWh
2017-10-01 09:00:00,116.3,kWh
2017-10-01 09:30:00,126.3,kWh
2017-10-01 10:00:00,116.1,kWh
2017-10-01 10:30:00,111.5,kWh
2017-10-01 11:00:00,126.1,kWh
2017-10-01 11:30:00,114.4,kWh
2017-10-01 12:00:00,112.0,kWh
2017-10-01 12:30:00,124.3,kWh
2017-10-01 13:00:00,117.0,kWh
2017-10-01 13:30:00,112.8,kWh
2017-10-01 14:00:00,124.7,kWh
2017-10-01 14:30:00,115.1,kWh
2017-10-01 15:00:00,111.0,kWh
2017-10-01 15:30:00,125.8,kWh
2017-10-01 16:00:00,112.7,kWh
2017-10-01 16:30:00,114.6,kWh
2017-10-01 17:00:00,127.4,kWh
2017-10-01 17:30:00,113.7,kWh
2017-10-01 18:00:00,114.5,kWh
2017-10-01 18:30:00,127.0,kWh
2017-10-01 19:00:00,112.5,kWh
2017-10-01 19:30:00,99.6,kWh
2017-10-01 20:00:00,116.8,kWh
2017-10-01 20:30:00,106.0,kWh
2017-10-01 21:00:00,100.8,kWh
2017-10-01 21:30:00,115.3,kWh
2017-10-01 22:00:00,113.8,kWh
2017-10-01 22:30:00,85.8,kWh
2017-10-01 23:00:00,77.9,kWh
2017-10-01 23:30:00,77.5,kWh
2017-10-02 00:00:00,88.5,kWh
2017-10-02 00:30:00,85.8,kWh
2017-10-02 01:00:00,88.7,kWh
2017-10-02 01:30:00,87.6,kWh
2017-10-02 02:00:00,75.6,kWh
2017-10-02 02:30:00,75.5,kWh
2017-10-02 03:00:00,75.5,kWh
2017-10-02 03:30:00,74.5,kWh
2017-10-02 04:00:00,78.3,kWh
2017-10-02 04:30:00,79.9,kWh
2017-10-02 05:00:00,116.4,kWh
2017-10-02 05:30:00,125.3,kWh
2017-10-02 06:00:00,139.2,kWh
2017-10-02 06:30:00,173.2,kWh
2017-10-02 07:00:00,127.8,kWh
2017-10-02 07:30:00,112.6,kWh
2017-10-02 08:00:00,133.8,kWh
2017-10-02 08:30:00,124.6,kWh
2017-10-02 09:00:00,116.6,kWh
2017-10-02 09:30:00,133.3,kWh
2017-10-02 10:00:00,126.4,kWh
2017-10-02 10:30:00,123.8,kWh
2017-10-02 11:00:00,134.2,kWh
2017-10-02 11:30:00,120.3,kWh
2017-10-02 12:00:00,129.9,kWh
2017-10-02 12:30:00,128.0,kWh
2017-10-02 13:00:00,114.8,kWh
2017-10-02 13:30:00,135.7,kWh
2017-10-02 14:00:00,125.7,kWh
2017-10-02 14:30:00,120.4,kWh
2017-10-02 15:00:00,135.0,kWh
2017-10-02 15:30:00,119.2,kWh
2017-10-02 16:00:00,131.6,kWh
2017-10-02 16:30:00,129.1,kWh
2017-10-02 17:00:00,145.3,kWh
2017-10-02 17:30:00,225.6,kWh
2017-10-02 18:00:00,154.2,kWh
2017-10-02 18:30:00,129.3,kWh
2017-10-02 19:00:00,123.7,kWh
2017-10-02 19:30:00,111.9,kWh
2017-10-02 20:00:00,104.1,kWh
2017-10-02 20:30:00,125.0,kWh
2017-10-02 21:00:00,119.8,kWh
2017-10-02 21:30:00,114.4,kWh
2017-10-02 22:00:00,122.6,kWh
2017-10-02 22:30:00,98.4,kWh
2017-10-02 23:00:00,90.4,kWh
2017-10-02 23:30:00,99.8,kWh
2017-10-03 00:00:00,85.8,kWh
2017-10-03 00:30:00,96.8,kWh
2017-10-03 01:00:00,85.3,kWh
2017-10-03 01:30:00,89.2,kWh
2017-10-03 02:00:00,89.2,kWh
2017-10-03 02:30:00,87.4,kWh
2017-10-03 03:00:00,97.8,kWh
2017-10-03 03:30:00,85.6,kWh
2017-10-03 04:00:00,106.4,kWh
2017-10-03 04:30:00,102.3,kWh
2017-10-03 05:00:00,154.5,kWh
2017-10-03 05:30:00,198.2,kWh
2017-10-03 06:00:00,250.4,kWh
2017-10-03 06:30:00,338.9,kWh
2017-10-03 07:00:00,420.0,kWh
2017-10-03 07:30:00,422.3,kWh
2017-10-03 08:00:00,416.5,kWh
2017-10-03 08:30:00,411.1,kWh
2017-10-03 09:00:00,426.20000000000016,kWh
2017-10-03 09:30:00,419.0,kWh
2017-10-03 10:00:00,415.3,kWh
2017-10-03 10:30:00,417.7,kWh
2017-10-03 11:00:00,417.70000000000016,kWh
2017-10-03 11:30:00,434.2,kWh
2017-10-03 12:00:00,434.5,kWh
2017-10-03 12:30:00,424.20000000000016,kWh
2017-10-03 13:00:00,436.4,kWh
2017-10-03 13:30:00,419.0,kWh
2017-10-03 14:00:00,379.8,kWh
2017-10-03 14:30:00,316.9,kWh
2017-10-03 15:00:00,378.7,kWh
2017-10-03 15:30:00,452.3,kWh
2017-10-03 16:00:00,441.6,kWh
2017-10-03 16:30:00,441.8,kWh
2017-10-03 17:00:00,197.2,kWh
2017-10-03 17:30:00,252.7,kWh
2017-10-03 18:00:00,211.3,kWh
2017-10-03 18:30:00,215.2,kWh
2017-10-03 19:00:00,191.7,kWh
2017-10-03 19:30:00,195.7,kWh
2017-10-03 20:00:00,138.2,kWh
2017-10-03 20:30:00,146.0,kWh
2017-10-03 21:00:00,142.39999999999995,kWh
2017-10-03 21:30:00,127.4,kWh
