AESTTime,Quantity,Unit
2017-10-01 00:00:00,2.7,kWh
2017-10-01 00:30:00,2.5,kWh
2017-10-01 01:00:00,2.6,kWh
2017-10-01 01:30:00,2.5,kWh
2017-10-01 02:00:00,2.6,kWh
2017-10-01 02:30:00,2.5,kWh
2017-10-01 03:00:00,2.6,kWh
2017-10-01 03:30:00,2.5,kWh
2017-10-01 04:00:00,3.4,kWh
2017-10-01 04:30:00,2.5,kWh
2017-10-01 05:00:00,2.6,kWh
2017-10-01 05:30:00,2.5,kWh
2017-10-01 06:00:00,2.4,kWh
2017-10-01 06:30:00,2.4000000000000004,kWh
2017-10-01 07:00:00,2.4,kWh
2017-10-01 07:30:00,2.3000000000000003,kWh
2017-10-01 08:00:00,2.4,kWh
2017-10-01 08:30:00,2.3000000000000003,kWh
2017-10-01 09:00:00,2.5,kWh
2017-10-01 09:30:00,2.2,kWh
2017-10-01 10:00:00,2.6,kWh
2017-10-01 10:30:00,2.4000000000000004,kWh
2017-10-01 11:00:00,3.0,kWh
2017-10-01 11:30:00,2.5,kWh
2017-10-01 12:00:00,4.7,kWh
2017-10-01 12:30:00,5.2,kWh
2017-10-01 13:00:00,4.8,kWh
2017-10-01 13:30:00,4.6,kWh
2017-10-01 14:00:00,4.5,kWh
2017-10-01 14:30:00,4.6000000000000005,kWh
2017-10-01 15:00:00,4.5,kWh
2017-10-01 15:30:00,4.5,kWh
2017-10-01 16:00:00,4.4,kWh
2017-10-01 16:30:00,4.4,kWh
2017-10-01 17:00:00,4.5,kWh
2017-10-01 17:30:00,4.4,kWh
2017-10-01 18:00:00,4.5,kWh
2017-10-01 18:30:00,4.8,kWh
2017-10-01 19:00:00,4.5,kWh
2017-10-01 19:30:00,5.2,kWh
2017-10-01 20:00:00,4.6,kWh
2017-10-01 20:30:00,4.6000000000000005,kWh
2017-10-01 21:00:00,4.5,kWh
2017-10-01 21:30:00,4.6,kWh
2017-10-01 22:00:00,4.6000000000000005,kWh
2017-10-01 22:30:00,4.6000000000000005,kWh
2017-10-01 23:00:00,4.6,kWh
2017-10-01 23:30:00,4.5,kWh
2017-10-02 00:00:00,4.7,kWh
2017-10-02 00:30:00,4.5,kWh
2017-10-02 01:00:00,4.5,kWh
2017-10-02 01:30:00,4.6,kWh
2017-10-02 02:00:00,5.1000000000000005,kWh
2017-10-02 02:30:00,4.7,kWh
2017-10-02 03:00:00,4.6,kWh
2017-10-02 03:30:00,4.5,kWh
2017-10-02 04:00:00,4.5,kWh
2017-10-02 04:30:00,4.6,kWh
2017-10-02 05:00:00,4.4,kWh
2017-10-02 05:30:00,4.4,kWh
2017-10-02 06:00:00,5.4,kWh
2017-10-02 06:30:00,4.7,kWh
2017-10-02 07:00:00,4.7,kWh
2017-10-02 07:30:00,5.1,kWh
2017-10-02 08:00:00,5.0,kWh
2017-10-02 08:30:00,5.1,kWh
2017-10-02 09:00:00,5.0,kWh
2017-10-02 09:30:00,5.6000000000000005,kWh
2017-10-02 10:00:00,5.0,kWh
2017-10-02 10:30:00,4.7,kWh
2017-10-02 11:00:00,4.8,kWh
2017-10-02 11:30:00,4.8,kWh
2017-10-02 12:00:00,30.1,kWh
2017-10-02 12:30:00,81.1,kWh
2017-10-02 13:00:00,40.8,kWh
2017-10-02 13:30:00,29.7,kWh
2017-10-02 14:00:00,25.4,kWh
2017-10-02 14:30:00,23.1,kWh
2017-10-02 15:00:00,22.4,kWh
2017-10-02 15:30:00,22.4,kWh
2017-10-02 16:00:00,22.2,kWh
2017-10-02 16:30:00,21.3,kWh
2017-10-02 17:00:00,22.0,kWh
2017-10-02 17:30:00,21.7,kWh
2017-10-02 18:00:00,21.6,kWh
2017-10-02 18:30:00,20.9,kWh
2017-10-02 19:00:00,20.8,kWh
2017-10-02 19:30:00,21.8,kWh
2017-10-02 20:00:00,20.7,kWh
2017-10-02 20:30:00,20.3,kWh
2017-10-02 21:00:00,21.8,kWh
2017-10-02 21:30:00,21.8,kWh
2017-10-02 22:00:00,20.7,kWh
2017-10-02 22:30:00,20.700000000000006,kWh
2017-10-02 23:00:00,21.8,kWh
2017-10-02 23:30:00,20.7,kWh
2017-10-03 00:00:00,21.4,kWh
2017-10-03 00:30:00,21.4,kWh
2017-10-03 01:00:00,21.6,kWh
2017-10-03 01:30:00,20.5,kWh
2017-10-03 02:00:00,21.0,kWh
2017-10-03 02:30:00,21.8,kWh
2017-10-03 03:00:00,35.5,kWh
2017-10-03 03:30:00,72.5,kWh
2017-10-03 04:00:00,181.3,kWh
2017-10-03 04:30:00,146.4,kWh
2017-10-03 05:00:00,142.9,kWh
2017-10-03 05:30:00,188.8,kWh
2017-10-03 06:00:00,263.7,kWh
2017-10-03 06:30:00,291.9,kWh
2017-10-03 07:00:00,402.5,kWh
2017-10-03 07:30:00,471.6,kWh
2017-10-03 08:00:00,524.3,kWh
2017-10-03 08:30:00,589.1,kWh
2017-10-03 09:00:00,584.1,kWh
2017-10-03 09:30:00,585.8,kWh
2017-10-03 10:00:00,654.6,kWh
2017-10-03 10:30:00,616.3,kWh
2017-10-03 11:00:00,623.0,kWh
2017-10-03 11:30:00,600.7,kWh
2017-10-03 12:00:00,588.8,kWh
2017-10-03 12:30:00,687.7,kWh
2017-10-03 13:00:00,719.8,kWh
2017-10-03 13:30:00,733.0999999999997,kWh
2017-10-03 14:00:00,739.7,kWh
2017-10-03 14:30:00,731.7,kWh
2017-10-03 15:00:00,735.3,kWh
2017-10-03 15:30:00,637.9000000000002,kWh
2017-10-03 16:00:00,631.9,kWh
2017-10-03 16:30:00,677.3,kWh
2017-10-03 17:00:00,681.0999999999998,kWh
2017-10-03 17:30:00,678.1,kWh
2017-10-03 18:00:00,687.8,kWh
2017-10-03 18:30:00,644.0,kWh
2017-10-03 19:00:00,729.4,kWh
2017-10-03 19:30:00,739.0,kWh
2017-10-03 20:00:00,727.0,kWh
2017-10-03 20:30:00,746.6,kWh
2017-10-03 21:00:00,729.4,kWh
2017-10-03 21:30:00,728.3,kWh
2017-10-03 22:00:00,703.7,kWh
2017-10-03 22:30:00,612.0,kWh
2017-10-03 23:00:00,605.1,kWh
2017-10-03 23:30:00,562.5,kWh
2017-10-04 00:00:00,567.2,kWh
2017-10-04 00:30:00,601.0,kWh
2017-10-04 01:00:00,607.2,kWh
2017-10-04 01:30:00,612.1,kWh
2017-10-04 02:00:00,597.2,kWh
2017-10-04 02:30:00,636.5,kWh
2017-10-04 03:00:00,634.8,kWh
2017-10-04 03:30:00,591.0,kWh
2017-10-04 04:00:00,619.9,kWh
2017-10-04 04:30:00,728.4000000000003,kWh
2017-10-04 05:00:00,785.9,kWh
2017-10-04 05:30:00,775.0,kWh
2017-10-04 06:00:00,767.0,kWh
2017-10-04 06:30:00,770.4,kWh
2017-10-04 07:00:00,766.5,kWh
2017-10-04 07:30:00,729.2,kWh
2017-10-04 08:00:00,687.6,kWh
2017-10-04 08:30:00,683.5,kWh
2017-10-04 09:00:00,681.5,kWh
2017-10-04 09:30:00,681.8,kWh
2017-10-04 10:00:00,690.7,kWh
2017-10-04 10:30:00,690.3,kWh
2017-10-04 11:00:00,685.6,kWh
2017-10-04 11:30:00,686.0999999999998,kWh
2017-10-04 12:00:00,687.7,kWh
2017-10-04 12:30:00,694.9000000000003,kWh
2017-10-04 13:00:00,643.3,kWh
2017-10-04 13:30:00,589.6,kWh
2017-10-04 14:00:00,596.7,kWh
2017-10-04 14:30:00,617.2,kWh
2017-10-04 15:00:00,620.2,kWh
2017-10-04 15:30:00,596.7,kWh
2017-10-04 16:00:00,583.4,kWh
2017-10-04 16:30:00,601.3,kWh
2017-10-04 17:00:00,687.2,kWh
2017-10-04 17:30:00,639.0,kWh
2017-10-04 18:00:00,639.3,kWh
2017-10-04 18:30:00,677.9000000000002,kWh
2017-10-04 19:00:00,736.1,kWh
2017-10-04 19:30:00,757.7,kWh
2017-10-04 20:00:00,749.0,kWh
2017-10-04 20:30:00,760.3,kWh
2017-10-04 21:00:00,761.0,kWh
2017-10-04 21:30:00,761.1,kWh
2017-10-04 22:00:00,762.1,kWh
2017-10-04 22:30:00,760.9,kWh
2017-10-04 23:00:00,773.5,kWh
2017-10-04 23:30:00,770.6,kWh
2017-10-05 00:00:00,752.8,kWh
2017-10-05 00:30:00,759.8,kWh
2017-10-05 01:00:00,781.5999999999997,kWh
2017-10-05 01:30:00,782.5,kWh
2017-10-05 02:00:00,782.9000000000003,kWh
2017-10-05 02:30:00,744.5,kWh
2017-10-05 03:00:00,703.8,kWh
2017-10-05 03:30:00,717.9,kWh
2017-10-05 04:00:00,705.3,kWh
2017-10-05 04:30:00,704.9,kWh
2017-10-05 05:00:00,644.1,kWh
2017-10-05 05:30:00,609.6,kWh
2017-10-05 06:00:00,604.1,kWh
2017-10-05 06:30:00,630.7,kWh
2017-10-05 07:00:00,641.1,kWh
2017-10-05 07:30:00,645.7,kWh
2017-10-05 08:00:00,686.7,kWh
2017-10-05 08:30:00,712.3,kWh
