AESTTime,Quantity,Unit
2017-10-01 00:00:00,12.416,kWh
2017-10-01 00:30:00,12.192,kWh
2017-10-01 01:00:00,12.192,kWh
2017-10-01 01:30:00,11.712,kWh
2017-10-01 02:00:00,11.872,kWh
2017-10-01 02:30:00,12.064,kWh
2017-10-01 03:00:00,11.84,kWh
2017-10-01 03:30:00,12.448,kWh
2017-10-01 04:00:00,11.904000000000002,kWh
2017-10-01 04:30:00,12.064,kWh
2017-10-01 05:00:00,11.968,kWh
2017-10-01 05:30:00,12.255999999999998,kWh
2017-10-01 06:00:00,11.872,kWh
2017-10-01 06:30:00,11.648,kWh
2017-10-01 07:00:00,11.008,kWh
2017-10-01 07:30:00,11.328,kWh
2017-10-01 08:00:00,11.2,kWh
2017-10-01 08:30:00,11.328,kWh
2017-10-01 09:00:00,11.04,kWh
2017-10-01 09:30:00,11.424,kWh
2017-10-01 10:00:00,11.392,kWh
2017-10-01 10:30:00,11.648,kWh
2017-10-01 11:00:00,11.552,kWh
2017-10-01 11:30:00,11.552,kWh
2017-10-01 12:00:00,11.68,kWh
2017-10-01 12:30:00,11.743,kWh
2017-10-01 13:00:00,11.776,kWh
2017-10-01 13:30:00,11.776,kWh
2017-10-01 14:00:00,11.488,kWh
2017-10-01 14:30:00,11.648,kWh
2017-10-01 15:00:00,11.424,kWh
2017-10-01 15:30:00,11.519,kWh
2017-10-01 16:00:00,11.392,kWh
2017-10-01 16:30:00,11.776,kWh
2017-10-01 17:00:00,13.056,kWh
2017-10-01 17:30:00,12.192,kWh
2017-10-01 18:00:00,12.0,kWh
2017-10-01 18:30:00,11.712,kWh
2017-10-01 19:00:00,11.776,kWh
2017-10-01 19:30:00,11.904000000000002,kWh
2017-10-01 20:00:00,11.776,kWh
2017-10-01 20:30:00,11.776,kWh
2017-10-01 21:00:00,11.84,kWh
2017-10-01 21:30:00,11.68,kWh
2017-10-01 22:00:00,12.0,kWh
2017-10-01 22:30:00,11.68,kWh
2017-10-01 23:00:00,11.84,kWh
2017-10-01 23:30:00,25.536,kWh
2017-10-02 00:00:00,18.528,kWh
2017-10-02 00:30:00,14.751,kWh
2017-10-02 01:00:00,14.592,kWh
2017-10-02 01:30:00,14.464,kWh
2017-10-02 02:00:00,14.944,kWh
2017-10-02 02:30:00,14.496,kWh
2017-10-02 03:00:00,14.335,kWh
2017-10-02 03:30:00,15.039,kWh
2017-10-02 04:00:00,58.688,kWh
2017-10-02 04:30:00,36.992,kWh
2017-10-02 05:00:00,50.752,kWh
2017-10-02 05:30:00,62.368,kWh
2017-10-02 06:00:00,55.808,kWh
2017-10-02 06:30:00,58.976000000000006,kWh
2017-10-02 07:00:00,57.76,kWh
