AESTTime,Quantity,Unit
2017-10-01 00:00:00,13.972,kWh
2017-10-01 00:30:00,13.988,kWh
2017-10-01 01:00:00,13.692,kWh
2017-10-01 01:30:00,14.288,kWh
2017-10-01 02:00:00,16.032,kWh
2017-10-01 02:30:00,16.535999999999998,kWh
2017-10-01 03:00:00,16.456,kWh
2017-10-01 03:30:00,16.224,kWh
2017-10-01 04:00:00,16.996,kWh
2017-10-01 04:30:00,16.72,kWh
2017-10-01 05:00:00,15.672,kWh
2017-10-01 05:30:00,16.84,kWh
2017-10-01 06:00:00,17.276,kWh
2017-10-01 06:30:00,16.82,kWh
2017-10-01 07:00:00,23.968000000000004,kWh
2017-10-01 07:30:00,24.568,kWh
2017-10-01 08:00:00,21.928,kWh
2017-10-01 08:30:00,18.472,kWh
2017-10-01 09:00:00,20.06,kWh
2017-10-01 09:30:00,23.06,kWh
2017-10-01 10:00:00,21.384,kWh
2017-10-01 10:30:00,22.892,kWh
2017-10-01 11:00:00,22.3,kWh
2017-10-01 11:30:00,19.02,kWh
2017-10-01 12:00:00,16.1,kWh
2017-10-01 12:30:00,16.816,kWh
2017-10-01 13:00:00,16.304000000000002,kWh
2017-10-01 13:30:00,17.727999999999994,kWh
2017-10-01 14:00:00,17.668,kWh
2017-10-01 14:30:00,17.112000000000002,kWh
2017-10-01 15:00:00,15.208,kWh
2017-10-01 15:30:00,18.08,kWh
2017-10-01 16:00:00,22.652,kWh
2017-10-01 16:30:00,17.608,kWh
2017-10-01 17:00:00,13.924,kWh
2017-10-01 17:30:00,13.548,kWh
2017-10-01 18:00:00,14.856,kWh
2017-10-01 18:30:00,13.912,kWh
2017-10-01 19:00:00,12.968,kWh
2017-10-01 19:30:00,12.824000000000002,kWh
2017-10-01 20:00:00,13.916,kWh
2017-10-01 20:30:00,13.6,kWh
2017-10-01 21:00:00,14.008,kWh
2017-10-01 21:30:00,13.264,kWh
2017-10-01 22:00:00,12.804,kWh
2017-10-01 22:30:00,12.908,kWh
2017-10-01 23:00:00,13.072,kWh
2017-10-01 23:30:00,12.944,kWh
2017-10-02 00:00:00,12.512,kWh
2017-10-02 00:30:00,13.228,kWh
2017-10-02 01:00:00,12.964,kWh
2017-10-02 01:30:00,12.924,kWh
2017-10-02 02:00:00,12.888,kWh
2017-10-02 02:30:00,13.28,kWh
2017-10-02 03:00:00,13.536,kWh
2017-10-02 03:30:00,13.132,kWh
2017-10-02 04:00:00,13.56,kWh
2017-10-02 04:30:00,14.428,kWh
2017-10-02 05:00:00,14.364,kWh
2017-10-02 05:30:00,14.976,kWh
2017-10-02 06:00:00,15.188,kWh
2017-10-02 06:30:00,15.216,kWh
2017-10-02 07:00:00,27.68,kWh
2017-10-02 07:30:00,24.012,kWh
2017-10-02 08:00:00,25.232,kWh
2017-10-02 08:30:00,23.24,kWh
2017-10-02 09:00:00,20.636,kWh
2017-10-02 09:30:00,26.54,kWh
2017-10-02 10:00:00,21.288,kWh
2017-10-02 10:30:00,15.996,kWh
2017-10-02 11:00:00,25.416,kWh
2017-10-02 11:30:00,18.424,kWh
2017-10-02 12:00:00,15.672,kWh
2017-10-02 12:30:00,15.24,kWh
2017-10-02 13:00:00,19.824,kWh
2017-10-02 13:30:00,23.132,kWh
2017-10-02 14:00:00,19.448,kWh
2017-10-02 14:30:00,18.392,kWh
2017-10-02 15:00:00,15.18,kWh
2017-10-02 15:30:00,16.328,kWh
2017-10-02 16:00:00,19.776,kWh
2017-10-02 16:30:00,19.076,kWh
2017-10-02 17:00:00,14.62,kWh
2017-10-02 17:30:00,15.272,kWh
2017-10-02 18:00:00,15.272,kWh
2017-10-02 18:30:00,15.616,kWh
2017-10-02 19:00:00,14.26,kWh
2017-10-02 19:30:00,14.212,kWh
2017-10-02 20:00:00,13.524,kWh
2017-10-02 20:30:00,14.336,kWh
2017-10-02 21:00:00,13.748,kWh
2017-10-02 21:30:00,13.128,kWh
2017-10-02 22:00:00,12.928,kWh
2017-10-02 22:30:00,13.16,kWh
2017-10-02 23:00:00,12.648,kWh
2017-10-02 23:30:00,13.072,kWh
2017-10-03 00:00:00,12.776,kWh
2017-10-03 00:30:00,12.868,kWh
2017-10-03 01:00:00,13.136,kWh
2017-10-03 01:30:00,13.136,kWh
2017-10-03 02:00:00,12.98,kWh
2017-10-03 02:30:00,13.94,kWh
2017-10-03 03:00:00,13.924,kWh
2017-10-03 03:30:00,13.98,kWh
2017-10-03 04:00:00,14.46,kWh
2017-10-03 04:30:00,14.984000000000002,kWh
2017-10-03 05:00:00,15.36,kWh
2017-10-03 05:30:00,15.804,kWh
2017-10-03 06:00:00,16.452,kWh
2017-10-03 06:30:00,16.792,kWh
2017-10-03 07:00:00,22.412,kWh
2017-10-03 07:30:00,24.244,kWh
2017-10-03 08:00:00,21.604,kWh
2017-10-03 08:30:00,27.088,kWh
2017-10-03 09:00:00,19.48,kWh
2017-10-03 09:30:00,20.464,kWh
2017-10-03 10:00:00,19.86,kWh
2017-10-03 10:30:00,27.684,kWh
2017-10-03 11:00:00,26.128,kWh
2017-10-03 11:30:00,19.828,kWh
2017-10-03 12:00:00,16.988,kWh
2017-10-03 12:30:00,17.932000000000006,kWh
2017-10-03 13:00:00,18.488,kWh
2017-10-03 13:30:00,15.56,kWh
2017-10-03 14:00:00,16.355999999999998,kWh
2017-10-03 14:30:00,20.6,kWh
2017-10-03 15:00:00,22.3,kWh
2017-10-03 15:30:00,20.628,kWh
2017-10-03 16:00:00,25.44,kWh
2017-10-03 16:30:00,19.416,kWh
2017-10-03 17:00:00,15.988,kWh
2017-10-03 17:30:00,16.375999999999998,kWh
2017-10-03 18:00:00,16.844,kWh
2017-10-03 18:30:00,17.32,kWh
2017-10-03 19:00:00,17.252,kWh
