AESTTime,Quantity,Unit
2017-10-01 00:00:00,6.48,kWh
2017-10-01 00:30:00,5.904,kWh
2017-10-01 01:00:00,5.827999999999999,kWh
2017-10-01 01:30:00,5.98,kWh
2017-10-01 02:00:00,5.86,kWh
2017-10-01 02:30:00,5.7520000000000024,kWh
2017-10-01 03:00:00,5.9879999999999995,kWh
2017-10-01 03:30:00,5.587999999999999,kWh
2017-10-01 04:00:00,5.544,kWh
2017-10-01 04:30:00,5.532,kWh
2017-10-01 05:00:00,6.047999999999999,kWh
2017-10-01 05:30:00,5.728,kWh
2017-10-01 06:00:00,6.303999999999999,kWh
2017-10-01 06:30:00,5.388,kWh
2017-10-01 07:00:00,3.508,kWh
2017-10-01 07:30:00,2.824,kWh
2017-10-01 08:00:00,3.7,kWh
2017-10-01 08:30:00,3.0839999999999996,kWh
2017-10-01 09:00:00,2.58,kWh
2017-10-01 09:30:00,2.44,kWh
2017-10-01 10:00:00,1.944,kWh
2017-10-01 10:30:00,2.056,kWh
2017-10-01 11:00:00,2.1959999999999997,kWh
2017-10-01 11:30:00,2.7039999999999997,kWh
2017-10-01 12:00:00,2.84,kWh
2017-10-01 12:30:00,2.8,kWh
2017-10-01 13:00:00,2.5839999999999996,kWh
2017-10-01 13:30:00,2.468,kWh
2017-10-01 14:00:00,2.324,kWh
2017-10-01 14:30:00,3.188,kWh
2017-10-01 15:00:00,3.228,kWh
2017-10-01 15:30:00,3.46,kWh
2017-10-01 16:00:00,3.864,kWh
2017-10-01 16:30:00,5.74,kWh
2017-10-01 17:00:00,6.188,kWh
2017-10-01 17:30:00,6.204,kWh
2017-10-01 18:00:00,6.648,kWh
2017-10-01 18:30:00,6.04,kWh
2017-10-01 19:00:00,6.0760000000000005,kWh
2017-10-01 19:30:00,5.74,kWh
2017-10-01 20:00:00,5.6160000000000005,kWh
2017-10-01 20:30:00,5.9879999999999995,kWh
2017-10-01 21:00:00,6.336,kWh
2017-10-01 21:30:00,5.772,kWh
2017-10-01 22:00:00,5.64,kWh
2017-10-01 22:30:00,5.612,kWh
2017-10-01 23:00:00,5.66,kWh
2017-10-01 23:30:00,6.112,kWh
2017-10-02 00:00:00,6.476,kWh
2017-10-02 00:30:00,5.8320000000000025,kWh
2017-10-02 01:00:00,6.108,kWh
2017-10-02 01:30:00,5.904,kWh
2017-10-02 02:00:00,5.992000000000001,kWh
2017-10-02 02:30:00,6.0520000000000005,kWh
2017-10-02 03:00:00,5.624,kWh
2017-10-02 03:30:00,5.624,kWh
2017-10-02 04:00:00,6.216,kWh
2017-10-02 04:30:00,6.32,kWh
2017-10-02 05:00:00,5.532,kWh
2017-10-02 05:30:00,5.6720000000000015,kWh
2017-10-02 06:00:00,6.516,kWh
2017-10-02 06:30:00,5.664,kWh
2017-10-02 07:00:00,4.5760000000000005,kWh
2017-10-02 07:30:00,3.536,kWh
2017-10-02 08:00:00,3.3280000000000003,kWh
2017-10-02 08:30:00,3.6,kWh
2017-10-02 09:00:00,2.676,kWh
2017-10-02 09:30:00,2.16,kWh
2017-10-02 10:00:00,2.464,kWh
2017-10-02 10:30:00,2.616,kWh
2017-10-02 11:00:00,2.932,kWh
2017-10-02 11:30:00,3.66,kWh
2017-10-02 12:00:00,3.4560000000000004,kWh
2017-10-02 12:30:00,3.32,kWh
2017-10-02 13:00:00,2.984,kWh
2017-10-02 13:30:00,3.3680000000000003,kWh
2017-10-02 14:00:00,3.3,kWh
2017-10-02 14:30:00,3.028,kWh
2017-10-02 15:00:00,2.992,kWh
2017-10-02 15:30:00,3.3360000000000003,kWh
2017-10-02 16:00:00,3.3680000000000003,kWh
2017-10-02 16:30:00,5.024,kWh
2017-10-02 17:00:00,5.584,kWh
2017-10-02 17:30:00,6.336,kWh
2017-10-02 18:00:00,5.876,kWh
2017-10-02 18:30:00,6.152,kWh
2017-10-02 19:00:00,6.2360000000000015,kWh
2017-10-02 19:30:00,6.16,kWh
2017-10-02 20:00:00,5.784,kWh
2017-10-02 20:30:00,5.732,kWh
2017-10-02 21:00:00,5.888,kWh
2017-10-02 21:30:00,6.08,kWh
2017-10-02 22:00:00,5.76,kWh
2017-10-02 22:30:00,5.587999999999999,kWh
2017-10-02 23:00:00,5.716,kWh
2017-10-02 23:30:00,6.18,kWh
2017-10-03 00:00:00,5.68,kWh
2017-10-03 00:30:00,5.808,kWh
2017-10-03 01:00:00,6.404,kWh
2017-10-03 01:30:00,5.772,kWh
2017-10-03 02:00:00,5.704,kWh
2017-10-03 02:30:00,6.1960000000000015,kWh
2017-10-03 03:00:00,7.336,kWh
2017-10-03 03:30:00,8.256,kWh
2017-10-03 04:00:00,9.204,kWh
2017-10-03 04:30:00,9.12,kWh
2017-10-03 05:00:00,9.248,kWh
2017-10-03 05:30:00,10.164,kWh
2017-10-03 06:00:00,9.604,kWh
2017-10-03 06:30:00,9.4,kWh
2017-10-03 07:00:00,8.22,kWh
2017-10-03 07:30:00,6.484,kWh
2017-10-03 08:00:00,7.284,kWh
2017-10-03 08:30:00,6.7360000000000015,kWh
2017-10-03 09:00:00,6.6960000000000015,kWh
2017-10-03 09:30:00,6.8320000000000025,kWh
2017-10-03 10:00:00,7.6160000000000005,kWh
2017-10-03 10:30:00,8.052,kWh
2017-10-03 11:00:00,6.367999999999999,kWh
2017-10-03 11:30:00,6.204,kWh
2017-10-03 12:00:00,4.263999999999999,kWh
2017-10-03 12:30:00,4.436,kWh
2017-10-03 13:00:00,3.52,kWh
2017-10-03 13:30:00,2.7760000000000002,kWh
2017-10-03 14:00:00,3.168,kWh
2017-10-03 14:30:00,2.784,kWh
2017-10-03 15:00:00,2.772,kWh
2017-10-03 15:30:00,3.3960000000000004,kWh
2017-10-03 16:00:00,3.8360000000000003,kWh
2017-10-03 16:30:00,5.968,kWh
2017-10-03 17:00:00,6.22,kWh
2017-10-03 17:30:00,6.7120000000000015,kWh
2017-10-03 18:00:00,5.587999999999999,kWh
2017-10-03 18:30:00,5.596,kWh
2017-10-03 19:00:00,5.568,kWh
2017-10-03 19:30:00,5.6960000000000015,kWh
2017-10-03 20:00:00,5.42,kWh
2017-10-03 20:30:00,5.392,kWh
2017-10-03 21:00:00,5.412000000000001,kWh
2017-10-03 21:30:00,5.343999999999999,kWh
2017-10-03 22:00:00,5.276,kWh
2017-10-03 22:30:00,5.892,kWh
2017-10-03 23:00:00,5.732,kWh
2017-10-03 23:30:00,5.787999999999999,kWh
2017-10-04 00:00:00,5.412000000000001,kWh
2017-10-04 00:30:00,5.287999999999999,kWh
2017-10-04 01:00:00,5.68,kWh
2017-10-04 01:30:00,5.216,kWh
2017-10-04 02:00:00,5.224,kWh
2017-10-04 02:30:00,5.9479999999999995,kWh
2017-10-04 03:00:00,6.3839999999999995,kWh
2017-10-04 03:30:00,7.383999999999999,kWh
2017-10-04 04:00:00,9.22,kWh
2017-10-04 04:30:00,8.992,kWh
2017-10-04 05:00:00,9.064,kWh
2017-10-04 05:30:00,10.08,kWh
2017-10-04 06:00:00,9.084,kWh
2017-10-04 06:30:00,9.332,kWh
2017-10-04 07:00:00,9.224,kWh
2017-10-04 07:30:00,7.2879999999999985,kWh
2017-10-04 08:00:00,7.084,kWh
2017-10-04 08:30:00,6.9,kWh
2017-10-04 09:00:00,7.0120000000000005,kWh
2017-10-04 09:30:00,6.596,kWh
2017-10-04 10:00:00,5.492000000000001,kWh
2017-10-04 10:30:00,5.316,kWh
2017-10-04 11:00:00,3.98,kWh
2017-10-04 11:30:00,4.732,kWh
2017-10-04 12:00:00,3.176,kWh
2017-10-04 12:30:00,2.504,kWh
2017-10-04 13:00:00,2.3280000000000003,kWh
2017-10-04 13:30:00,3.3360000000000003,kWh
2017-10-04 14:00:00,2.988,kWh
2017-10-04 14:30:00,2.556,kWh
2017-10-04 15:00:00,2.536,kWh
2017-10-04 15:30:00,3.588,kWh
2017-10-04 16:00:00,3.5,kWh
2017-10-04 16:30:00,5.56,kWh
2017-10-04 17:00:00,5.82,kWh
2017-10-04 17:30:00,6.352,kWh
2017-10-04 18:00:00,5.76,kWh
2017-10-04 18:30:00,5.872000000000001,kWh
2017-10-04 19:00:00,5.968,kWh
2017-10-04 19:30:00,5.856,kWh
2017-10-04 20:00:00,6.244,kWh
2017-10-04 20:30:00,5.896,kWh
2017-10-04 21:00:00,5.7120000000000015,kWh
2017-10-04 21:30:00,5.843999999999999,kWh
2017-10-04 22:00:00,5.892,kWh
2017-10-04 22:30:00,5.816,kWh
2017-10-04 23:00:00,6.216,kWh
2017-10-04 23:30:00,5.852,kWh
2017-10-05 00:00:00,5.904,kWh
2017-10-05 00:30:00,6.0120000000000005,kWh
2017-10-05 01:00:00,6.068,kWh
2017-10-05 01:30:00,5.716,kWh
2017-10-05 02:00:00,6.12,kWh
2017-10-05 02:30:00,5.86,kWh
2017-10-05 03:00:00,5.564,kWh
2017-10-05 03:30:00,6.0120000000000005,kWh
2017-10-05 04:00:00,7.26,kWh
2017-10-05 04:30:00,7.108,kWh
2017-10-05 05:00:00,7.004,kWh
2017-10-05 05:30:00,6.968,kWh
2017-10-05 06:00:00,7.028,kWh
2017-10-05 06:30:00,7.1320000000000014,kWh
2017-10-05 07:00:00,6.4639999999999995,kWh
2017-10-05 07:30:00,5.66,kWh
2017-10-05 08:00:00,5.5,kWh
2017-10-05 08:30:00,5.192,kWh
2017-10-05 09:00:00,4.28,kWh
2017-10-05 09:30:00,4.516,kWh
2017-10-05 10:00:00,3.88,kWh
2017-10-05 10:30:00,4.352,kWh
2017-10-05 11:00:00,4.176,kWh
2017-10-05 11:30:00,3.924,kWh
2017-10-05 12:00:00,3.472,kWh
2017-10-05 12:30:00,3.432,kWh
2017-10-05 13:00:00,3.892,kWh
2017-10-05 13:30:00,4.776,kWh
2017-10-05 14:00:00,3.964,kWh
2017-10-05 14:30:00,3.076,kWh
2017-10-05 15:00:00,3.252,kWh
2017-10-05 15:30:00,4.592,kWh
2017-10-05 16:00:00,5.42,kWh
2017-10-05 16:30:00,6.684,kWh
2017-10-05 17:00:00,6.843999999999999,kWh
2017-10-05 17:30:00,6.856,kWh
2017-10-05 18:00:00,6.9,kWh
2017-10-05 18:30:00,5.724,kWh
2017-10-05 19:00:00,5.296,kWh
2017-10-05 19:30:00,5.224,kWh
2017-10-05 20:00:00,5.22,kWh
2017-10-05 20:30:00,5.26,kWh
2017-10-05 21:00:00,5.263999999999999,kWh
2017-10-05 21:30:00,6.0360000000000005,kWh
2017-10-05 22:00:00,5.176,kWh
2017-10-05 22:30:00,5.164,kWh
2017-10-05 23:00:00,5.232,kWh
2017-10-05 23:30:00,5.204,kWh
2017-10-06 00:00:00,5.268,kWh
2017-10-06 00:30:00,5.66,kWh
2017-10-06 01:00:00,5.207999999999998,kWh
2017-10-06 01:30:00,5.1160000000000005,kWh
2017-10-06 02:00:00,5.22,kWh
2017-10-06 02:30:00,5.6560000000000015,kWh
2017-10-06 03:00:00,6.904,kWh
2017-10-06 03:30:00,6.9239999999999995,kWh
2017-10-06 04:00:00,7.127999999999999,kWh
2017-10-06 04:30:00,8.336,kWh
2017-10-06 05:00:00,10.107999999999999,kWh
2017-10-06 05:30:00,9.412,kWh
2017-10-06 06:00:00,9.032,kWh
2017-10-06 06:30:00,8.952,kWh
2017-10-06 07:00:00,7.364,kWh
2017-10-06 07:30:00,8.452,kWh
2017-10-06 08:00:00,6.92,kWh
2017-10-06 08:30:00,10.048,kWh
2017-10-06 09:00:00,12.116,kWh
2017-10-06 09:30:00,7.136,kWh
2017-10-06 10:00:00,7.808,kWh
2017-10-06 10:30:00,5.744,kWh
2017-10-06 11:00:00,4.088,kWh
2017-10-06 11:30:00,4.216,kWh
2017-10-06 12:00:00,3.344,kWh
2017-10-06 12:30:00,2.7880000000000003,kWh
2017-10-06 13:00:00,2.68,kWh
2017-10-06 13:30:00,2.628,kWh
2017-10-06 14:00:00,3.228,kWh
2017-10-06 14:30:00,3.648,kWh
2017-10-06 15:00:00,3.228,kWh
2017-10-06 15:30:00,2.7319999999999998,kWh
2017-10-06 16:00:00,3.108,kWh
2017-10-06 16:30:00,4.984,kWh
2017-10-06 17:00:00,5.244,kWh
2017-10-06 17:30:00,5.247999999999998,kWh
2017-10-06 18:00:00,5.244,kWh
