AESTTime,Quantity,Unit
2017-10-01 00:00:00,6.48,kWh
2017-10-01 00:30:00,5.904,kWh
2017-10-01 01:00:00,5.827999999999999,kWh
2017-10-01 01:30:00,5.98,kWh
,5.86,kWh
,5.7520000000000024,kWh
,5.9879999999999995,kWh
2017-10-01 03:30:00,,kWh
2017-10-01 04:00:00,5.544,kWh
2017-10-01 04:30:00,5.532,kWh
,6.047999999999999,kWh
,5.728,kWh
2017-10-01 06:00:00,6.303999999999999,kWh
2017-10-01 06:30:00,5.388,
2017-10-01 07:00:00,3.508,kWh
2017-10-01 07:30:00,2.824,kWh
2017-10-01 08:00:00,3.7,kWh
2017-10-01 08:30:00,3.0839999999999996,kWh
2017-10-01 09:00:00,2.58,kWh
